ŚLĄSKIE ,29,GLIWICE ,29 Okręg wyborczy,"Powiaty: gliwicki, tarnogórski Miasta na prawach powiatu: Bytom, Gliwice, Zabrze"
ŚLĄSKIE ,30,Rybnik ,30 Okręg wyborczy,"Powiaty: mikołowski, raciborski, rybnicki, wodzisławski Miasta na prawach powiatu: Jastrzębie-Zdrój, Rybnik, Żory"
ŚLĄSKIE ,31,Katowice ,31 Okręg wyborczy,"Powiaty: bieruńsko-lędziński Miasta na prawach powiatu: Chorzów, Katowice, Mysłowice, Piekary Śląskie, Ruda Śląska, Siemianowice Śląskie, Świętochłowice, Tychy"
ŚLĄSKIE ,32,Sosnowiec ,32 Okręg wyborczy,"Powiaty: będziński, zawierciański Miasta na prawach powiatu: Dąbrowa Górnicza, Jaworzno, Sosnowiec"
ŚWIĘTOKRZYSKIE ,33,Kielce ,33 Okręg wyborczy,Województwo świętokrzyskie
WARMIŃSKO-MAZURSKIE ,34,Elbląg ,34 Okręg wyborczy,"Powiaty: bartoszycki, braniewski, działdowski, elbląski, iławski, lidzbarski, nowomiejski, ostródzki Miasto na prawach powiatu: Elbląg"
WARMIŃSKO-MAZURSKIE ,35,Olsztyn ,35 Okręg wyborczy,"Powiaty: ełcki, giżycki, gołdapski, kętrzyński, mrągowski, nidzicki, olecki, olsztyński, piski, szczycieński, węgorzewski Miasto na prawach powiatu: Olsztyn"
WIELKOPOLSKIE ,36,Kalisz ,36 Okręg wyborczy,"Powiaty: gostyński, jarociński, kaliski, kępiński, kościański, krotoszyński, leszczyński, ostrowski, ostrzeszowski, pleszewski, rawicki Miasta na prawach powiatu: Kalisz, Leszno"
WIELKOPOLSKIE ,37,Konin ,37 Okręg wyborczy,"Powiaty: gnieźnieński, kolski, koniński, słupecki, średzki, śremski, turecki, wrzesiński Miasto na prawach powiatu: Konin"
WIELKOPOLSKIE ,38,Piła ,38 Okręg wyborczy,"Powiaty: chodzieski, czarnkowsko-trzcianecki, grodziski, międzychodzki, nowotomyski, obornicki, pilski, szamotulski, wągrowiecki, wolsztyński, złotowski"
WIELKOPOLSKIE ,39,Poznań ,39 Okręg wyborczy,Powiat: poznański Miasto na prawach powiatu: Poznań
ZACHODNIOPOMORSKIE ,40,Koszalin ,40 Okręg wyborczy,"Powiaty: białogardzki, choszczeński, drawski, kołobrzeski, koszaliński, sławieński, szczecinecki, świdwiński, wałecki Miasto na prawach powiatu: Koszalin"
ZACHODNIOPOMORSKIE ,41,Szczecin ,41 Okręg wyborczy,"Powiaty: goleniowski, gryficki, gryfiński, kamieński, łobeski, myśliborski, policki, pyrzycki, stargardzki Miasta na prawach powiatu: Szczecin, Świnoujście"
